gene,disease
EPHX3,gastric cancer
PSCA,gastric cancer
PUS1,gastric cancer
ULBP2,gastric cancer
TAF15,gastric cancer
URM1,gastric cancer
SYMPK,gastric cancer
MIA,gastric cancer
ARID1A,gastric cancer
BAP1,gastric cancer
REG4,gastric cancer
CASP8,gastric cancer
CASP10,gastric cancer
ARFGAP2,gastric cancer
ZNF559,gastric cancer
KISS1R,gastric cancer
SPZ1,gastric cancer
TUBA1C,gastric cancer
MIR22HG,gastric cancer
ITGA8,gastric cancer
CST7,gastric cancer
CAV1,gastric cancer
PLPP1,gastric cancer
RUNX3,gastric cancer
AKR1C3,gastric cancer
IRS2,gastric cancer
TNFSF9,gastric cancer
SUCLG1,gastric cancer
FCGBP,gastric cancer
SELENBP1,gastric cancer
ZNF160,gastric cancer
SLC16A3,gastric cancer
RRP9,gastric cancer
AURKB,gastric cancer
IL32,gastric cancer
WDR46,gastric cancer
CD44,gastric cancer
TMEM63A,gastric cancer
MTSS1,gastric cancer
SCRN1,gastric cancer
RNASEL,prostate cancer
HOXB13,prostate cancer
ELAC2,prostate cancer
MSR1,prostate cancer
CHEK2,prostate cancer
EPHB2,prostate cancer
HOXB13,prostate cancer
MSMB,prostate cancer
EHBP1,prostate cancer
ELAC2,prostate cancer
RNASEL,prostate cancer
BRCA2,prostate cancer
BRCA1,prostate cancer
CDKN1B,prostate cancer
MSMB,prostate cancer
EPHB2,prostate cancer
NBN,prostate cancer
SRD5A2,prostate cancer
CDH1,prostate cancer
BCL2L11,prostate cancer
THEG5,prostate cancer
TSHZ1,prostate cancer
RNU6-148P,prostate cancer
RNU6-491P,prostate cancer
RN7SKP114,prostate cancer
RNU6-456P,prostate cancer
CHD3,prostate cancer
DNMT3B,prostate cancer
DOCK2,prostate cancer
TOR1A,prostate cancer
MECOM,prostate cancer
KDM2A,prostate cancer
LARP4B,prostate cancer
TTC28,prostate cancer
B3GAT1,prostate cancer
RASSF3,prostate cancer
HLA-DOA,prostate cancer
DUBR,prostate cancer
INCENP,prostate cancer
ITGB8,prostate cancer
OACYLP,prostate cancer
ARHGAP6,prostate cancer
MBNL1,prostate cancer
MMP14,prostate cancer
MYO9B,prostate cancer
ATM,prostate cancer
PAX9,prostate cancer
POU2F2,prostate cancer
HAUS6,prostate cancer
UHRF1BP1,prostate cancer
RNF43,prostate cancer
RNLS,prostate cancer
MAP2K1,prostate cancer
EMSY,prostate cancer
KNL1,prostate cancer
FBRSL1,prostate cancer
BCL2,prostate cancer
PKNOX2,prostate cancer
RFX7,prostate cancer
TCF4,prostate cancer
HNF1B,prostate cancer
TCF7L2,prostate cancer
MEIS1-AS3,prostate cancer
SUGCT,prostate cancer
ATAT1,prostate cancer
MOB2,prostate cancer
MAD1L1,prostate cancer
CDCA7,prostate cancer
CASP8,prostate cancer
PPFIBP2,prostate cancer
BCAS1,prostate cancer
MBD2,prostate cancer
COL23A1,prostate cancer
ADGRG1,prostate cancer
DENND4B,prostate cancer
MSH5,prostate cancer
BCL2L11,prostate cancer
THEG5,prostate cancer
TSHZ1,prostate cancer
CDKN1B,prostate cancer
HOXB13,prostate cancer
RNU6-148P,prostate cancer
RNU6-491P,prostate cancer
RN7SKP114,prostate cancer
RNU6-456P,prostate cancer
CHD3,prostate cancer
CHEK2,prostate cancer
DNMT3B,prostate cancer
DOCK2,prostate cancer
TOR1A,prostate cancer
MECOM,prostate cancer
KDM2A,prostate cancer
LARP4B,prostate cancer
TTC28,prostate cancer
B3GAT1,prostate cancer
RASSF3,prostate cancer
HLA-DOA,prostate cancer
DUBR,prostate cancer
INCENP,prostate cancer
ITGB8,prostate cancer
OACYLP,prostate cancer
ARHGAP6,prostate cancer
MBNL1,prostate cancer
MMP14,prostate cancer
MYO9B,prostate cancer
ATM,prostate cancer
PAX9,prostate cancer
POU2F2,prostate cancer
HAUS6,prostate cancer
UHRF1BP1,prostate cancer
RNF43,prostate cancer
RNLS,prostate cancer
MAP2K1,prostate cancer
EMSY,prostate cancer
KNL1,prostate cancer
FBRSL1,prostate cancer
BCL2,prostate cancer
PKNOX2,prostate cancer
RFX7,prostate cancer
TCF4,prostate cancer
TCF7L2,prostate cancer
MEIS1-AS3,prostate cancer
SUGCT,prostate cancer
ATAT1,prostate cancer
MOB2,prostate cancer
